ReportTitle,Textbox2
REPORTE TRAMITE - CAMBIO DE CALIDAD MIGRATORIA,Fecha Consulta: 04/12/2024 17:27

Textbox4,Dependencia,Anio,Mes,NumeroTramite,UltimaEtapa,FechaExpendiente,FechaEtapaAprobacionMasivaFin,FechaPre,OperadorPre,EstadoPre,EstadoTramite
184,MIRAFLORES,2019,4,MR190068416,EVALUACIÓN - F,15/04/2019 19:19,06/05/2019 16:28,,,,DESISTIDO
185,MIRAFLORES,2019,4,MR190060162,EVALUACIÓN - F,04/04/2019 12:11,05/06/2019 18:13,,,,DESISTIDO
186,MIRAFLORES,2019,4,MR190058972,EVALUACIÓN - F,03/04/2019 8:19,09/05/2019 14:51,,,,DESISTIDO
187,MIRAFLORES,2019,4,MR190058207,EVALUACIÓN - F,02/04/2019 9:44,02/05/2019 9:15,,,,DESISTIDO
188,MIRAFLORES,2019,3,MR190054500,EVALUACIÓN - F,27/03/2019 17:08,10/05/2019 11:44,,,,DESISTIDO
189,MIRAFLORES,2019,3,MR190053738,EVALUACIÓN - F,26/03/2019 18:22,04/06/2019 16:02,,,,DESISTIDO
190,MIRAFLORES,2019,3,MR190053699,EVALUACIÓN - F,26/03/2019 17:55,26/06/2019 16:01,,,,DESISTIDO
191,MIRAFLORES,2019,3,MR190053360,EVALUACIÓN - F,26/03/2019 12:41,09/03/2020 14:50,,,,DESISTIDO
192,MIRAFLORES,2019,3,MR190050820,EVALUACIÓN - F,22/03/2019 11:58,25/06/2019 18:06,,,,DESISTIDO
193,MIRAFLORES,2019,3,MR190049825,EVALUACIÓN - F,21/03/2019 10:04,20/06/2019 13:07,,,,DESISTIDO
194,MIRAFLORES,2019,3,MR190046290,EVALUACIÓN - F,15/03/2019 17:29,22/05/2019 9:47,,,,DESISTIDO
195,MIRAFLORES,2019,3,MR190045996,EVALUACIÓN - F,15/03/2019 13:48,22/05/2019 9:51,,,,DESISTIDO
196,MIRAFLORES,2019,3,MR190041354,EVALUACIÓN - F,08/03/2019 19:11,10/04/2019 10:24,,,,DESISTIDO
197,MIRAFLORES,2019,3,MR190041353,EVALUACIÓN - F,08/03/2019 19:11,10/04/2019 10:25,,,,DESISTIDO
198,MIRAFLORES,2019,2,MR190030176,EVALUACIÓN - F,21/02/2019 9:49,13/08/2019 11:47,,,,DESISTIDO
